lotid;logerror;transactiondate;aircond;style;basement;numbath;numbedroom;classbuild;qualitybuild;decktype;finishedarea1st;finishedarea;perimeterarea;totalarea;finishedareaEntry;countycode;numfireplace;numfullbath;garagenum;garagearea;tubflag;heatingtype;latitude;longitude;lotarea;poolnum;poolarea;citycode;countycode2;neighborhoodcode;regioncode;roomnum;storytype;num34bath;material;unitnum;year;numstories;fireplace;buildvalue;taxyear;landvalue;totaltaxvalue;taxdelinquencyflag;taxdelinquencyyear;mypointer;parcelvalue
10764938;;;1;;;2;3;;8;;;2141;;;;6037;0;2;;;;2;34217613;-118559780;17513;;;12447;3101;40548;96364;0;;;;1;1949;;;157582;2016;70119;2878.1;;;23421;227701
10993859;;;1;;;3;3;;4;;;3551;;;;6037;0;3;;;;2;34272088;-118293165;13519;;;12447;3101;27484;96284;0;;;;1;2000;;;422344;2015;253898;8479.62;;;27704;676242
10792266;;;1;;;3;2;;4;;;1263;;;;6037;0;3;;;;2;34174000;-118600000;152053;1;;12447;3101;48570;96389;0;;;;1;1980;;;124879;2015;54462;2317.1;;;20816;179341
14116333;;;;;;2.5;4;;;;;1856;;;;6059;0;2;2;437;;;33820065;-117881310;5000;;;16764;1286;275470;97025;7;;1;;;1968;2;;52144;2015;23662;1205.8;;;30050;75806
10913588;;;1;;;5;5;;1;;;4383;;;;6037;0;5;;;;2;34149473;-118408816;7301;1;;12447;3101;47880;96449;0;;;;1;2007;;;628423;2015;1311496;23751.22;;;18954;1939919
10735982;;;1;;;3;4;;4;;;2347;;;;6037;0;3;;;TRUE;2;34156828;-118750879;8976;;;9840;3101;764099;96336;0;;;;1;1979;;;274200;2015;545800;9424.83;;;1996;820000
11596668;;;1;;;1;1;;7;;;740;;;;6037;0;1;;;;2;34008921;-118389078;296895;1;;51617;3101;;96095;0;;;;1;1972;;;53000;2015;257000;4241.42;;;18614;310000
10767448;;;1;;;3;4;;8;;;2112;;;;6037;0;3;;;;2;34215888;-118574197;5359;1;;12447;3101;27987;96341;0;;;;1;1979;;;282241;2016;186158;5718.41;;;9224;468399
11147806;;;1;;;2;3;;4;;;2050;;;;6037;0;2;;;;2;34424606;-118428288;248824;;;54311;3101;37739;96401;0;;;;1;1980;;;177551;2015;31012;3007.21;;;8077;208563
14382823;;;1;;;3;3;;;;;2824;;;;6059;3;3;2;596;TRUE;6;33602010;-117695990;5000;;;25458;1286;;96971;9;;;;;1989;;;274831;2015;515169;8282.84;;;2730;790000
17192233;;;;;;3;4;;;;1374;2967;;;1374;6111;1;3;2;645;;;34188339;-118958902;10058;;;34278;2061;46736;96351;8;;;;;1980;2;;254731;2015;68812;3462.3;;;10605;323543
14126829;;;11;;;2;3;;;;;1562;;;;6059;1;2;2;420;;6;33853328;-118016285;13160;;;10608;1286;;96180;7;;;;;1967;1;;90934;2015;215218;3692.56;;;19388;306152
14623350;;;11;7;;1.5;2;;;;;994;;;;6059;0;1;1;0;;18;33612600;-117733000;;;;46098;1286;;96963;4;;1;6;;1971;1;;46565;2015;35644;802.62;Y;15;18316;82209
13891133;;;;;;1;3;;;;;1585;;;;6059;0;1;2;402;TRUE;;33618919;-117912923;7381;1;;53571;1286;;96981;6;;;;;1951;1;;116059;2015;642284;8427.86;;;16373;758343
10852986;;;1;;;3;2;;4;;;1360;;;;6037;0;3;;;;2;34166000;-118502000;91077;1;;12447;3101;51906;96349;0;;;;1;1965;;;109656;2015;173527;3472.26;;;15603;283183
17079296;;;;;;2;3;;;;1527;1527;;;1527;6111;1;2;2;400;;;34272788;-119267881;5347;;;34543;2061;;97081;7;;;;;1928;1;;190497;2015;82833;2895.86;;;20568;273330
17125237;;;;;;2.5;2;;;;2655;3073;;;2655;6111;2;2;4;988;;;34242462;-119073261;22690;;;51239;2061;;97089;6;;1;;;1997;2;;332620;2015;489153;8787.94;;;2024;821773
17291202;;;;;;2;3;;;;2297;2297;;;2297;6111;2;2;2;434;;;34195126;-118805818;7648;;;34278;2061;;96385;7;;;;;1988;1;;417005;2015;417005;8978.6;;;19669;834010
13052689;;;1;;;4;4;;4;;;3354;;;;6037;0;4;;;;2;34124003;-117704250;14217;1;;30908;3101;764142;96469;0;;;;1;1977;;;344713;2015;51702;5104.4;;;32200;396415
17297695;;;;;;2.5;3;;;;490;1672;;;490;6111;1;2;2;568;;;34174870;-118764859;1742;;;53655;2061;;96393;6;;1;;;1980;2;;190000;2016;354000;7003.94;;;8029;544000
12076007;;;1;;;3;4;;4;;;2874;;;;6037;0;3;;;;2;34181531;-118207721;8010;1;;45457;3101;273633;96325;0;;;;1;1979;;;246003;2015;511741;8507.62;;;26299;757744
10796894;-0.0188522561198;13/3/17;;;;1;2;;4;;;1342;;;;6037;0;1;;;;7;34180158;-118559694;27287;;;12447;3101;47950;96379;0;;;;1;1940;;;129869;2016;487016;7495.83;;;3459;616885
17178158;;;;;;3;4;;;;1288;2427;;;1288;6111;1;3;2;630;;;34212008;-119172986;4950;;;13150;2061;156012;97101;9;;;;;2001;2;;223530;2016;223530;5724.22;;;34297;447060
10811991;;;1;;;3;5;;8;;;2843;;;;6037;0;3;;;;2;34156694;-118575279;18199;1;;12447;3101;48570;96387;0;;;;1;1963;;;157821;2016;631304;9741.77;;;5838;789125
10723554;;;1;;;3;5;;4;;;2470;;;;6037;0;3;;;;2;34203642;-118639972;9724;;;12447;3101;268588;96342;0;;;;1;1972;;;129324;2015;110843;3114.17;;;2057;240167
11280730;;;1;;;2;3;;4;;;1927;;;;6037;0;2;;;;2;34684318;-118176387;9388;1;;5534;3101;;97319;0;;;;1;1971;;;106065;2015;16498;2202.74;;;10081;122563
17080059;;;;;;1.5;3;;;;1181;1285;;;1181;6111;0;1;1;360;;;34268809;-119253687;6431;;;34543;2061;;97083;5;;1;;;1953;1;;80708;2015;22066;1191;;;4442;102774
11655323;;;1;;;3;3;;9;;;2604;;;;6037;0;3;;;;2;34114558;-118404773;31356;1;;12447;3101;113749;96086;0;;;;1;1961;;;324895;2016;497603;10154.99;;;33166;822498
10773554;-0.00669997629303;26/6/17;1;;;2;2;;6;;;880;;;;6037;0;2;;;;2;34210000;-118575000;58236;1;;12447;3101;27987;96341;0;;;;1;1988;;;91000;2016;137000;2799.46;;;14124;228000
12568414;;;;;;2;2;;7;;;1381;;;;6037;0;2;;;;7;33818328;-118211603;6194;;;46298;3101;275989;96244;0;;;;1;1942;;;61693;2015;63009;1731.79;Y;14;30168;124702
14233020;;;13;;;2.5;3;;;;;2329;;;;6059;0;2;2;630;TRUE;;33799195;-117800166;12320;;;33252;1286;;97067;9;;1;;;1983;1;;216880;2015;533120;4231.68;;;9410;750000
14432167;;;1;;;2.5;4;;;;;2067;;;;6059;1;2;2;470;;6;33484695;-117697680;9900;;;17686;1286;;96961;7;;1;;;1979;2;;184945;2016;214125;5150.12;;;20307;399070
11774240;0.1089;19/5/16;;;;1;4;;7;;;1932;;;;6037;0;1;;;;7;34024886;-118260037;5558;;;12447;3101;273197;95992;0;;;;1;1903;;;160945;2015;110780;3486.64;;;10845;271725
10914239;;;1;;;3;2;;4;;;1432;;;;6037;0;3;;;;2;34146500;-118417000;28768;1;;12447;3101;47880;96449;0;;;;1;1982;;;140868;2015;219441;4377.81;;;31511;360309
17279820;;;;;;2.5;5;;;;1678;1678;;;1678;6111;1;2;2;446;;;34216979;-118861798;13131;;;34278;2061;;96383;8;;1;;;1964;1;;56890;2016;18588;810.52;;;22524;75478
10793577;;;1;;;2;2;;7;;;920;;;;6037;0;2;;;;2;34171000;-118598000;93838;;;12447;3101;48570;96389;0;;;;1;1987;;;109325;2015;145473;3171.54;;;19977;254798
10741085;;;1;;;3;3;;7;;;2186;;;;6037;0;3;;;;2;34154599;-118759235;7445;1;;9840;3101;764098;96336;0;;;;1;1985;;;158446;2016;618256;8932.01;;;8513;776702
10802913;;;1;;;2;2;;8;;;1582;;;;6037;0;2;;;;2;34169700;-118527000;112127;1;;12447;3101;51906;96349;0;;;;1;1973;;;162494;2016;69629;2809.38;;;30632;232123
17265950;;;;;;2.5;3;;;;664;1574;;;664;6111;1;2;2;0;;;34181853;-118909166;;;;34278;2061;46736;96351;5;;1;;;2003;2;;169000;2016;312000;5184.98;;;30979;481000
11568916;0.0917;4/12/16;1;;;3;2;;10;;;1677;;;;6037;0;3;;;;2;34051000;-118473000;23862;;;12447;3101;113910;96030;0;;;;1;1983;;;375908;2015;329188;8648.49;;;20332;705096
17145776;;;;;;3;4;;;;1230;2080;;;1230;6111;1;3;2;598;;;34227089;-119196917;7348;;;13150;2061;;97107;8;;;;;1994;2;;205992;2015;137325;4371.9;;;9780;343317
17126960;;;;;;2;3;;;;962;1496;;;962;6111;0;2;1;0;;;34225270;-119072558;3920;;;51239;2061;;97089;6;;;;;1974;2;;164737;2015;109819;2920.1;;;30836;274556
10772212;;;;;;2;3;;6;;;1303;;;;6037;0;2;;;;2;34205172;-118586998;7647;1;;12447;3101;27987;96341;0;;;;1;1961;;;95041;2016;188878;3529.15;;;709;283919
14011150;;;;;;2.5;4;;;;;2230;;;;6059;1;2;2;624;;;33822561;-118023844;5520;1;;44833;1286;;96185;8;;1;;;1969;2;;166402;2015;299442;9250.88;;;11834;465844
17194229;;;;;;2.5;4;;;;2738;2738;;;2738;6111;2;2;2;431;;;34173269;-118964717;12401;;;34278;2061;46736;96351;8;;1;;;2001;1;;537441;2016;358294;9866.98;;;14527;895735
14305774;;;;;;2.5;3;;;;;1851;;;;6059;0;2;2;483;;;33685929;-117804493;2646;;;52650;1286;276119;96941;7;;1;;;1976;2;;148016;2015;163110;3299.28;;;35260;311126
12526123;;;1;;;3;3;;9;;;2954;;;;6037;0;3;;;;2;33765503;-118116288;3597;1;;46298;3101;343505;96237;0;;;;1;1981;;;470517;2016;425116;10552.08;;;5451;895633
17188048;;;;;;3;3;;;;1410;2655;;;1410;6111;1;3;2;657;;;34208971;-119021882;5824;;;51239;2061;;97091;8;;;;;2005;2;;323531;2015;323531;6988.54;;;16524;647062
10732936;;;1;;;2;3;;8;;;1556;;;;6037;0;2;;;;2;34172884;-118641449;7734;1;;12447;3101;48570;96389;0;;;;1;1957;;;108735;2016;548685;7999.25;;;17824;657420
10766697;;;1;;;1;0;;4;;;444;;;;6037;0;1;;;;2;34218800;-118574000;128617;1;;12447;3101;27987;96341;0;;;;1;1979;;;60451;2015;25614;1104.57;;;34102;86065
11099719;0.0816;4/2/16;1;;;2;3;;4;;;1853;;;;6037;0;2;;;;2;34226649;-118561019;8113;;;12447;3101;33183;96354;0;;;;1;1956;;;139232;2015;82450;2859.87;;;25600;221682
17141848;-0.02221192733;23/6/17;;;;1.5;2;;;;919;919;;;919;6111;0;1;1;0;;;34224263;-119007146;4400;;;51239;2061;;97091;4;;1;;;1978;1;;123227;2016;228852;3733.48;;;26453;352079
11660764;;;1;;;8;3;;10;;;3700;;;;6037;0;8;;;;2;34051137;-118488300;15952;1;;12447;3101;113910;96030;0;;;;1;1947;;;1718347;2015;2976924;57127.25;;;27735;4695271
14234555;;;1;;;2;3;;;;;1489;;;;6059;1;2;2;462;;6;33799426;-117824929;6760;1;;33252;1286;;97065;7;;;;;1964;1;;108446;2015;221720;3809.98;;;24804;330166
14192811;;;;;;2.5;3;;;;;2635;;;;6059;1;2;2;414;;;33893919;-117792499;7610;1;;21412;1286;;97078;8;;1;;;1972;2;;63598;2015;24642;1399.52;;;11364;88240
14212562;;;13;;;5.5;5;;;;;5944;;;;6059;5;5;4;960;;;33845243;-117811938;43560;1;;16764;1286;113455;97026;11;;1;;;1976;2;;810811;2016;725292;16147.3;;;30421;1536103
12705700;;;1;;;4;3;;10;;;3064;;;;6037;0;4;;;TRUE;2;33764259;-118370338;4582;;;54053;3101;;96122;0;;;;1;1979;;;278284;2015;649748;12650.83;;;6646;928032
14336276;;;;;;4.5;4;;;;;3365;;;;6059;1;4;2;650;;;33770291;-117772313;16150;1;;40081;1286;;97005;8;;1;;;1965;2;;260126;2015;343240;6954.54;;;21934;603366
12045662;;;1;;;3;2;;4;;;1330;;;;6037;0;3;;;;2;34212512;-118238287;11013;;;45457;3101;274582;96275;0;;;;1;2002;;;179552;2015;228961;4584.74;;;1750;408513
12464246;-0.0789511482893;30/6/17;;;;3;4;;7;;;2203;;;;6037;0;3;;;;2;33829445;-118192169;10444;1;;46298;3101;274358;96241;0;;;;1;1951;;;450457;2016;776651;14508.78;;;7116;1227108
12638712;;;;;;2;3;;4;;;1027;;;;6037;0;2;;;;2;33813500;-118308000;165454;1;;12447;3101;38888;96210;0;;;;1;1973;;;96830;2015;67083;2123.2;;;845;163913
17054916;;;;;;2;1;;;;800;800;;;800;6111;1;2;1;0;;;34453253;-119248905;15083;;;13091;2061;;97099;3;;;;;1918;1;;79306;2015;234975;4249.4;;;28858;314281
10857370;;;1;;;1;1;;4;;;734;;;;6037;0;1;;;;2;34153100;-118454000;83232;1;;12447;3101;27080;96412;0;;;;1;1971;;;164216;2015;111177;3404.26;;;12441;275393
17097330;;;;;560;1.5;3;;;;1160;1160;;;1160;6111;2;1;1;390;;;34361744;-119063396;6800;;;26965;2061;;97113;6;7;1;;;1960;1;;195882;2015;111468;3404.48;;;19754;307350
10948082;;;1;;;5;6;;4;;;3376;;;;6037;0;5;;;;2;34193077;-118316401;11315;1;;396054;3101;;96436;0;;;;1;1949;;;293109;2015;241464;6062.9;;;1342;534573
14373376;;;;;;2.5;4;;;;;2200;;;;6059;1;2;2;546;TRUE;;33643388;-117684518;7749;1;;32380;1286;;96962;8;;1;;;1975;2;;183884;2016;472982;6847.22;;;33788;656866
12058344;;;1;;;4;4;;8;;;3793;;;;6037;0;4;;;;2;34167807;-118258430;8271;1;;45457;3101;275856;96321;0;;;;1;1939;;;490908;2016;129785;6940.47;;;11315;620693
17181465;;;;;;2;4;;;;1180;1420;;;1180;6111;0;2;2;424;;;34176562;-119148326;6400;;;13150;2061;;97104;7;;;;;1963;1;;100825;2015;33585;1679.48;;;15733;134410
17144058;;;;;;3;5;;;66;1431;3051;;;1431;6111;2;3;3;724;;;34237435;-118974460;22000;1;450;51239;2061;;97091;9;;;;;1988;2;;391358;2016;196920;6272.68;;;18608;588278
11122277;;;1;;;3;4;;8;;;2070;;;;6037;0;3;;;;2;34446790;-118492222;7271;1;;54311;3101;6952;96373;0;;;;1;1985;;;277834;2016;163777;6054.05;;;6860;441611
17264535;;;;;;2;3;;;;1736;1736;;;1736;6111;1;2;2;434;;;34178172;-118925215;7536;;;34278;2061;46736;96351;7;;;;;1966;1;;59105;2015;18309;836.36;;;16544;77414
10848990;;;1;;;3;3;;4;;;1562;;;;6037;0;3;;;;2;34166300;-118464000;131728;;;12447;3101;27080;96412;0;;;;1;1979;;;194597;2015;249569;5500.53;;;1485;444166
10786885;-0.014040886545;10/2/17;1;;;2;3;;6;;;1446;;;;6037;0;2;;;;2;34192343;-118571304;7511;1;;12447;3101;27987;96341;0;;;;1;1955;;;108977;2016;105473;2768;;;23170;214450
10865029;;;1;;;2;3;;8;;;1806;;;;6037;0;2;;;;2;34133495;-118462700;10399;1;;12447;3101;27080;96412;0;;;;1;1955;;;260891;2016;1043582;15723.61;;;23883;1304473
17104521;;;;;;2;4;;;;2209;2209;;;2209;6111;1;2;2;482;;;34252494;-119065823;21006;;;51239;2061;;97089;8;;;;;1968;1;;235000;2015;546000;8507;;;34523;781000
14654988;;;1;;;2.5;2;;;;;988;;;;6059;0;2;1;0;;6;33813400;-117930000;;1;;16764;1286;275496;97021;4;;1;;;1974;2;;71379;2016;168415;2946.48;;;15966;239794
12097569;0.0315;8/9/16;1;;;2;1;;4;;;1707;;;;6037;0;2;;;;2;34144200;-118161000;89166;;;47019;3101;275411;96293;0;;;;1;1974;;;150948;2015;601316;8816.79;;;16999;752264
13996120;;;;;;2.5;3;;;;;1788;;;;6059;0;2;2;400;;;33804334;-117952508;6836;;;16764;1286;275496;97023;7;;1;;;1955;1;;68270;2015;412730;5811.32;Y;14;4585;481000
12572094;-0.0222;3/8/16;;;;3;3;;4;;;1547;;;;6037;0;3;;;;2;33823697;-118216650;2977;;;46298;3101;275989;96244;0;;;;1;2003;;;185580;2015;102426;3527.04;;;31929;288006
17152110;;;;;;2;3;;;;1597;1597;;;1597;6111;1;2;2;474;;;34189504;-119213793;7407;;;13150;2061;762951;97106;6;;;;;1979;1;;157382;2015;84612;2902.26;;;26683;241994
11816332;;;1;;;2;4;;7;;;1791;;;;6037;0;2;;;;2;34076300;-118172743;7640;;;12447;3101;114914;96013;0;;;;1;1954;;;106055;2015;141415;3226.88;;;20318;247470
10769886;;;1;;;3;2;;4;;;1125;;;;6037;0;3;;;;2;34209900;-118605000;28906;;;12447;3101;30731;96339;0;;;;1;1989;;;94267;2015;62705;1926.82;;;16405;156972
17090563;;;;;;2.5;3;;;;762;1625;;;762;6111;1;2;2;471;;;34294094;-119164816;6540;;;34543;2061;;97084;6;;1;;;1975;2;;171374;2015;114245;3093.3;;;26888;285619
11130538;;;1;;;3;3;;7;;;1406;;;;6037;0;3;;;;2;34376729;-118559009;398589;;;54311;3101;26134;96352;0;;;;1;1966;;;107401;2015;37161;4171.82;;;26002;144562
11171764;;;1;;;6;5;;1;;;4506;;;;6037;0;6;;;;2;34412946;-118567058;10522;;;54311;3101;48200;96378;0;;;;1;1999;;;523044;2015;358073;11593.66;;;15393;881117
12097568;;;1;;;2;1;;4;;;1707;;;;6037;0;2;;;;2;34144200;-118161000;89166;;;47019;3101;275411;96293;0;;;;1;1974;;;84413;2015;93650;2214.7;;;28274;178063
17215981;;;;;;2;3;;;;1556;1556;;;1556;6111;1;2;2;407;;;34217493;-118888127;5000;;;34278;2061;;96383;6;;;;;1990;1;;216021;2015;144011;4090.2;;;2719;360032
12110321;;;1;;;2;2;;4;;;1130;;;;6037;0;2;;;;2;34140674;-118136972;23659;;;47019;3101;275405;96289;0;;;;1;1966;;;138410;2015;73466;2628.37;;;28529;211876
10752124;;;1;;;1;1;;7;;;842;;;;6037;0;1;;;;2;34136300;-118707000;595917;1;;37688;3101;;96336;0;;;;1;1988;;;112000;2016;266000;4647.39;;;695;378000
10996222;;;1;;;3;3;;7;;;1944;;;;6037;0;3;;;;2;34264870;-118298522;5500;;;12447;3101;27484;96284;0;;;;1;1986;;;1639;2015;213738;2723.35;;;7500;215377
10967498;;;1;;;1;1;;7;;;685;;;;6037;0;1;;;;2;34298300;-118452000;138870;;;12447;3101;34213;96368;0;;;;1;1984;;;93388;2015;39159;1714.12;;;34308;132547
10847482;;;1;;;1;1;;7;;;677;;;;6037;0;1;;;;2;34161500;-118448000;20245;;;12447;3101;27080;96424;0;;;;1;1980;;;37587;2015;9387;566.27;;;1200;46974
17211419;;;;;;2.5;5;;;;1008;1994;;;1008;6111;1;2;2;529;;;34203130;-118869601;8600;;;34278;2061;;96383;8;;1;;;1966;2;;187774;2016;125174;3393.82;;;19465;312948
10813847;;;1;;;2;3;;7;;;2128;;;;6037;0;2;;;;2;34152515;-118551536;19270;1;;12447;3101;47950;96379;0;;;;1;1963;;;197900;2016;752100;11631.23;;;33679;950000
10812689;;;1;;;4;4;;4;;;2852;;;;6037;0;4;;;;2;34163493;-118564551;14714;1;;12447;3101;48570;96387;0;;;;1;1962;;;234240;2015;191651;5403.08;;;19982;425891
10788785;;;;;;2;4;;6;;;1362;;;;6037;0;2;;;;2;34191258;-118576615;7717;1;;12447;3101;27987;96341;0;;;;1;1955;;;98693;2016;65789;2113.15;;;19069;164482
17226737;;;;;;1.5;2;;;;518;1000;;;518;6111;0;1;2;0;;;34281464;-118726973;775;;;27110;2061;;97116;4;;1;;;1972;2;;88834;2016;164978;3040.54;;;7630;253812
12179358;0.0507;14/9/16;1;;;4;4;;4;;;2272;;;;6037;0;4;;;;2;34219549;-118225752;12460;;;46080;3101;;96271;0;;;;1;1955;;;210424;2015;345561;6868.89;;;11295;555985
11294673;;;1;;;3;3;;4;;;1826;;;;6037;0;3;;;;2;34703416;-118119765;6027;1;;5534;3101;;97318;0;;;;1;1987;;;95726;2015;18334;2258.36;;;32058;114060
10725098;;;;;;3;4;;8;;;1690;;;;6037;0;3;;;;2;34197353;-118649166;10155;1;;12447;3101;268588;96342;0;;;;1;1963;;;177811;2016;221446;4937.1;;;29209;399257
13081005;;;1;;;3;4;;7;;;2100;;;;6037;0;3;;;;2;34013164;-117865048;11991;1;;34636;3101;;96522;0;;;;1;1975;;;194324;2015;97021;3821.54;;;451;291345
11068034;;;1;;;4;3;;4;;;2839;;;;6037;0;4;;;;2;34291409;-118572561;7317;;;12447;3101;275078;96356;0;;;;1;2001;;;309382;2015;297089;7576.27;;;25394;606471
11712730;;;1;;;1;3;;7;;;1238;;;;6037;0;1;;;;2;34017540;-118356725;8241;;;12447;3101;268097;95989;0;;;;1;1947;;;46952;2015;187831;3059.95;;;17381;234783
17160851;;;;;;2.5;4;;;;1672;1760;;;1672;6111;1;2;2;420;;;34215014;-119187878;6714;;;13150;2061;;97101;7;;1;;;1962;1;;54015;2015;16275;817.88;;;7598;70290
11036724;;;1;;;3;3;;4;;;1450;;;;6037;0;3;;;;2;34240100;-118445000;146158;1;;12447;3101;13176;96411;0;;;;1;1980;;;125513;2015;42850;3412.79;;;18917;168363
12057238;;;;;;4;4;;4;;;2536;;;;6037;0;4;;;;2;34174720;-118271186;9136;1;;45457;3101;273837;96321;0;;;;1;1958;;;327889;2015;356281;7614.53;;;20319;684170
17234803;;;;;;1.5;3;;;;1081;1081;;;1081;6111;0;1;1;399;;;34283011;-118713887;9694;;;27110;2061;;97116;6;;1;;;1959;1;;58000;2016;381000;5092.14;;;27045;439000
12454151;;;;;;1;0;;7;;;468;;;;6037;0;1;;;;7;33856500;-118195000;2809;;;46298;3101;276476;96239;0;;;;1;1953;;;39479;2015;59233;1372.19;Y;10;3612;98712
10724798;;;1;;;3;4;;8;;;1675;;;;6037;0;3;;;;2;34199611;-118632439;21540;;;12447;3101;268588;96342;0;;;;1;1961;;;58795;2016;30001;1273.56;;;29171;88796
11138199;;;1;;;2;3;;7;;;1195;;;;6037;0;2;;;;2;34376860;-118553372;7615;;;54311;3101;26134;96352;0;;;;1;1969;;;112833;2015;137909;3603.34;;;4391;250742
11087352;;;1;;;3;2;;7;;;1204;;;;6037;0;3;;;;2;34250300;-118601000;58432;1;;12447;3101;37835;96346;0;;;;1;1981;;;191604;2015;63862;3131.73;;;32666;255466
10797592;;;1;;;6;5;;11;;;5542;;;;6037;0;6;;;;2;34178060;-118545622;17998;1;;12447;3101;47950;96379;0;;;;1;2002;;;606884;2016;455491;12971.01;;;18787;1062375
10803541;;;1;;;1;1;;4;;;809;;;;6037;0;1;;;;2;34167500;-118525000;103146;1;;12447;3101;51906;96349;0;;;;1;1971;;;210200;2015;69800;3330.72;;;32389;280000
10983727;;;1;;;2;4;;7;;;1421;;;;6037;0;2;;;;2;34279637;-118409397;6794;;;12447;3101;40215;96361;0;;;;1;1982;;;106000;2015;296000;6015.53;;;29184;402000
17260178;;;;;;2.5;5;;;;1236;2232;;;1236;6111;1;2;2;632;;;34273162;-118666640;8424;;;27110;2061;;97116;9;;1;;;1965;2;;62561;2015;16275;1198.44;;;33263;78836
10792572;;;1;;;3;3;;4;;;1666;;;;6037;0;3;;;;2;34173700;-118604000;493881;1;;12447;3101;48570;96389;0;;;;1;1979;;;186325;2015;62327;3078.69;;;7945;248652
17280615;;;;;;2;3;;;;944;1376;;;944;6111;0;2;2;414;;;34211450;-118866378;10000;;;34278;2061;;96383;7;;;;;1960;1;;48786;2015;18223;792.16;;;14291;67009
14374136;;;;;;2.5;4;;;;;2609;;;;6059;0;2;2;663;TRUE;;33649919;-117692011;9637;1;;32380;1286;;96962;9;;1;;;1977;2;;219006;2015;387819;6404.78;;;6691;606825
